geneID	geneSymbol	log2FC	KD.geneSymbol	perturb_id	KD.geneID	KD.geneID_ASO
ENSG00000175054	ATR	-2.2359036383419504	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000144583	MARCH4	-2.28241406661332	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000136100	VPS36	-1.87012760006872	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000137693	YAP1	-1.23222636649153	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000133216	EPHB2	-2.23008148007777	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000091844	RGS17	-2.0316135054546898	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000048740	CELF2	-1.6583170724370802	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000100644	HIF1A	-1.11185544211132	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000119487	MAPKAP1	-1.38697308874809	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000184640	SEPT9	-0.7331247059152131	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000064652	SNX24	-1.7148286238386599	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000151502	VPS26B	-2.33367832040948	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000144724	PTPRG	-1.38657814179267	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000064692	SNCAIP	-1.76897494694066	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000171992	SYNPO	1.60834644669581	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000068383	INPP5A	-1.29073351791225	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000110107	PRPF19	-0.8996461962970771	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000123643	SLC36A1	-1.26537975325694	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000176248	ANAPC2	-1.30023140470022	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000152104	PTPN14	-1.13352465631258	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000012171	SEMA3B	1.53285578447018	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000169371	SNUPN	-1.49871665622671	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000123240	OPTN	-0.954216046307673	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000163697	APBB2	-1.24218495178773	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000198952	SMG5	-0.890379309692113	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000197321	SVIL	-1.18844707359166	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000002822	MAD1L1	-1.2953011466193702	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
