seqnames	start	end	width	strand	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
1	chr1	6271573	6271829	257	*	chr1.6271572.6271829	ENSG00000097021	6261975	6393767	-	inside	122194	9598	Overlapping
2	chr1	6962349	6963468	1120	*	chr1.6962348.6963468	CATG00000045241	6956700	6961974	-	upstream	-375	375	Overlapping
3	chr1	6962349	6963468	1120	*	chr1.6962348.6963468	ENSG00000171735	6784236	7770241	+	inside	178113	178113	Overlapping
4	chr1	7526324	7527481	1158	*	chr1.7526323.7527481	ENSG00000171735	6784236	7770241	+	inside	742088	242760	Overlapping
5	chr1	8493547	8494197	651	*	chr1.8493546.8494197	ENSG00000142599	8350699	8848900	-	inside	355353	142848	Overlapping
6	chr1	11147324	11147736	413	*	chr1.11147323.11147736	ENSG00000198793	11104301	11273432	-	inside	126108	43023	Overlapping
7	chr1	11147324	11147736	413	*	chr1.11147323.11147736	ENSG00000225602	11144178	11149537	+	inside	3146	1801	Overlapping
8	chr1	14542663	14543959	1297	*	chr1.14542662.14543959	CATG00000025135	14534042	14556874	+	inside	8621	8621	Overlapping
9	chr1	14542663	14543959	1297	*	chr1.14542662.14543959	CATG00000025137	14541054	14544340	+	inside	1609	381	Overlapping
10	chr1	14542663	14543959	1297	*	chr1.14542662.14543959	ENSG00000189337	13892605	15118993	+	inside	650058	575034	Overlapping
11	chr1	19828506	19829367	862	*	chr1.19828505.19829367	CATG00000040880	19765013	19951326	+	inside	63493	63493	Overlapping
12	chr1	20884570	20885556	987	*	chr1.20884569.20885556	ENSG00000075151	20742722	21177285	-	inside	292715	141848	Overlapping
13	chr1	20884570	20885556	987	*	chr1.20884569.20885556	ENSG00000127483	20735137	20896921	-	inside	12351	11365	Overlapping
14	chr1	25958377	25958872	496	*	chr1.25958376.25958872	ENSG00000158006	25955671	26036646	-	inside	78269	2706	Overlapping
15	chr1	28859635	28861116	1482	*	chr1.28859634.28861116	ENSG00000116329	28812170	28872258	+	inside	47465	11142	Overlapping
16	chr1	28859635	28861116	1482	*	chr1.28859634.28861116	ENSG00000162419	28668359	28892959	+	inside	191276	31843	Overlapping
17	chr1	32775256	32776082	827	*	chr1.32775255.32776082	ENSG00000134684	32768017	32826294	-	inside	51038	7239	Overlapping
18	chr1	32775256	32776082	827	*	chr1.32775255.32776082	ENSG00000162521	32635239	32801956	+	inside	140017	25874	Overlapping
19	chr1	32775256	32776082	827	*	chr1.32775255.32776082	ENSG00000162522	32741539	32801956	+	inside	33717	25874	Overlapping
20	chr1	35569871	35571053	1183	*	chr1.35569870.35571053	ENSG00000020129	35557442	35728982	+	inside	12429	12429	Overlapping
21	chr1	35569871	35571053	1183	*	chr1.35569870.35571053	ENSG00000239636	35563049	35579078	-	inside	9207	6822	Overlapping
22	chr1	39116821	39117750	930	*	chr1.39116820.39117750	CATG00000116213	39115502	39117992	+	inside	1319	242	Overlapping
23	chr1	39116821	39117750	930	*	chr1.39116820.39117750	ENSG00000127603	39081134	39490172	+	inside	35687	35687	Overlapping
24	chr1	42177011	42178619	1609	*	chr1.42177010.42178619	CATG00000056242	42068913	42222163	-	inside	45152	43544	Overlapping
25	chr1	42177011	42178619	1609	*	chr1.42177010.42178619	CATG00000117097	42173577	42188830	+	inside	3434	3434	Overlapping
26	chr1	42177011	42178619	1609	*	chr1.42177010.42178619	ENSG00000198815	42073541	42335880	-	inside	158869	103470	Overlapping
27	chr1	43293170	43294988	1819	*	chr1.43293169.43294988	CATG00000056664	43294536	43294771	-	includeFeature	1601	217	Overlapping
28	chr1	47317893	47318264	372	*	chr1.47317892.47318264	ENSG00000123473	47246015	47334223	-	inside	16330	15959	Overlapping
29	chr1	60065842	60066339	498	*	chr1.60065841.60066339	ENSG00000162598	59987269	60277441	-	inside	211599	78573	Overlapping
30	chr1	64590068	64590921	854	*	chr1.64590067.64590921	ENSG00000158966	64469789	64694904	+	inside	120279	103983	Overlapping
31	chr1	68269496	68270344	849	*	chr1.68269495.68270344	CATG00000061794	68269488	68274977	-	inside	5481	8	Overlapping
32	chr1	70319697	70320519	823	*	chr1.70319696.70320519	ENSG00000118454	70260546	70354722	-	inside	35025	34203	Overlapping
33	chr1	72296466	72296966	501	*	chr1.72296465.72296966	CATG00000004376	72282961	72754496	+	inside	13505	13505	Overlapping
34	chr1	78439692	78440839	1148	*	chr1.78439691.78440839	CATG00000004998	78427698	78456803	+	inside	11994	11994	Overlapping
35	chr1	78439692	78440839	1148	*	chr1.78439691.78440839	ENSG00000122420	78303572	78540836	+	inside	136120	99997	Overlapping
36	chr1	79928997	79929688	692	*	chr1.79928996.79929688	NA	NA	NA	NA	NA	NA	NA	NA
37	chr1	83960027	83961221	1195	*	chr1.83960026.83961221	ENSG00000137941	83865015	84001393	-	inside	41366	40172	Overlapping
38	chr1	89198446	89199080	635	*	chr1.89198445.89199080	CATG00000007222	89198356	89206430	+	inside	90	90	Overlapping
39	chr1	89198446	89199080	635	*	chr1.89198445.89199080	ENSG00000117228	89008835	89270814	-	inside	72368	71734	Overlapping
40	chr1	89198446	89199080	635	*	chr1.89198445.89199080	ENSG00000154451	89190164	89275101	-	inside	76655	8282	Overlapping
41	chr1	89198446	89199080	635	*	chr1.89198445.89199080	ENSG00000162645	89051648	89421908	-	inside	223462	146798	Overlapping
42	chr1	89198446	89199080	635	*	chr1.89198445.89199080	ENSG00000162654	89133321	89200443	-	inside	1997	1363	Overlapping
43	chr1	89198446	89199080	635	*	chr1.89198445.89199080	ENSG00000213512	89059363	89198878	-	overlapStart	432	202	Overlapping
44	chr1	89890100	89890768	669	*	chr1.89890099.89890768	ENSG00000171492	89821032	89990321	+	inside	69068	69068	Overlapping
45	chr1	89890100	89890768	669	*	chr1.89890099.89890768	ENSG00000271949	89633149	89933250	+	inside	256951	42482	Overlapping
46	chr1	99565717	99567014	1298	*	chr1.99565716.99567014	CATG00000068220	99566043	99567452	-	overlapEnd	1735	326	Overlapping
47	chr1	99565717	99567014	1298	*	chr1.99565716.99567014	ENSG00000224445	99420448	99600961	-	inside	35244	33947	Overlapping
48	chr1	99662490	99663158	669	*	chr1.99662489.99663158	CATG00000010019	99663006	99664201	+	overlapStart	-516	152	Overlapping
49	chr1	99662490	99663158	669	*	chr1.99662489.99663158	CATG00000068232	99612252	99673442	-	inside	10952	10284	Overlapping
50	chr1	99662490	99663158	669	*	chr1.99662489.99663158	CATG00000068236	99657363	99662380	-	upstream	-110	110	Overlapping
51	chr1	99662490	99663158	669	*	chr1.99662489.99663158	ENSG00000099260	99645444	99699378	+	inside	17046	17046	Overlapping
52	chr1	103516626	103517097	472	*	chr1.103516625.103517097	ENSG00000224613	103418079	103525502	-	inside	8876	8405	Overlapping
53	chr1	109149001	109149712	712	*	chr1.109149000.109149712	ENSG00000116299	109112364	109207361	+	inside	36637	36637	Overlapping
54	chr1	111585384	111586037	654	*	chr1.111585383.111586037	ENSG00000116473	111542013	111946066	+	inside	43371	43371	Overlapping
55	chr1	111707860	111708810	951	*	chr1.111707859.111708810	CATG00000071774	111703964	111712779	-	inside	4919	3896	Overlapping
56	chr1	111707860	111708810	951	*	chr1.111707859.111708810	ENSG00000116473	111542013	111946066	+	inside	165847	165847	Overlapping
57	chr1	111707860	111708810	951	*	chr1.111707859.111708810	ENSG00000197852	111680140	111755827	-	inside	47967	27720	Overlapping
58	chr1	111743585	111744089	505	*	chr1.111743584.111744089	ENSG00000116473	111542013	111946066	+	inside	201572	201572	Overlapping
59	chr1	111743585	111744089	505	*	chr1.111743584.111744089	ENSG00000197852	111680140	111755827	-	inside	12242	11738	Overlapping
60	chr1	111743585	111744089	505	*	chr1.111743584.111744089	ENSG00000227811	111738607	111753545	+	inside	4978	4978	Overlapping
61	chr1	112527331	112527623	293	*	chr1.112527330.112527623	ENSG00000007341	112516291	112620835	-	inside	93504	11040	Overlapping
62	chr1	112527331	112527623	293	*	chr1.112527330.112527623	ENSG00000134245	112463711	112533429	+	inside	63620	5806	Overlapping
63	chr1	149893685	149894656	972	*	chr1.149893684.149894656	CATG00000075055	149895287	149900793	-	downstream	7108	631	Overlapping
64	chr1	149893685	149894656	972	*	chr1.149893684.149894656	ENSG00000178096	149840725	149902289	+	inside	52960	7633	Overlapping
65	chr1	149978642	149979595	954	*	chr1.149978641.149979595	ENSG00000163113	149937604	150067694	-	inside	89052	41038	Overlapping
66	chr1	152167765	152169005	1241	*	chr1.152167764.152169005	ENSG00000236427	152165574	152207434	+	inside	2191	2191	Overlapping
67	chr1	152167765	152169005	1241	*	chr1.152167764.152169005	ENSG00000237975	152168162	152366776	+	overlapStart	-397	397	Overlapping
