seqnames	start	end	width	strand	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
1	chr1	2225921	2245174	19254	*	peak_579	ENSG00000157933.10	2228319	2310213	+	overlapStart	-2398	2398	Overlapping
2	chr1	3527635	3533826	6192	*	peak_1011	ENSG00000162591.16	3487951	3611508	-	inside	83873	39684	Overlapping
3	chr1	3745492	3748047	2556	*	peak_1131	ENSG00000162592.10	3746460	3771645	+	overlapStart	-968	968	Overlapping
4	chr1	3745492	3748047	2556	*	peak_1131	ENSG00000227372.12	3735511	3747373	-	overlapStart	1881	674	Overlapping
5	chr1	7780138	7786208	6071	*	peak_2723	ENSG00000049245.13	7771296	7781432	+	overlapEnd	8842	1294	Overlapping
6	chr1	7780138	7786208	6071	*	peak_2723	ENSG00000049246.14	7784320	7845177	+	overlapStart	-4182	1888	Overlapping
7	chr1	12577957	12623999	46043	*	peak_4584	ENSG00000162496.9	12567910	12618210	-	overlapStart	40253	5789	Overlapping
8	chr1	12577957	12623999	46043	*	peak_4584	ENSG00000272482.1	12618900	12619244	-	includeFeature	41287	4755	Overlapping
9	chr1	12577957	12623999	46043	*	peak_4584	ENSG00000276830.1	12578957	12579023	-	includeFeature	1066	1000	Overlapping
10	chr1	14712309	14713182	874	*	peak_5149	ENSG00000189337.17	13892792	15118043	+	inside	819517	404861	Overlapping
11	chr1	20606168	20608598	2431	*	peak_7372	ENSG00000158825.6	20589086	20618903	+	inside	17082	10305	Overlapping
12	chr1	21715127	21716228	1102	*	peak_7921	ENSG00000090686.15	21678298	21783606	-	inside	68479	36829	Overlapping
13	chr1	22643477	22647976	4500	*	peak_8333	ENSG00000159189.12	22643633	22648110	+	overlapStart	-156	134	Overlapping
14	chr1	23043018	23045966	2949	*	peak_8536	ENSG00000004487.16	23019443	23083689	+	inside	23575	23575	Overlapping
15	chr1	23043018	23045966	2949	*	peak_8536	ENSG00000240553.1	23020147	23088058	-	inside	45040	22871	Overlapping
16	chr1	23043018	23045966	2949	*	peak_8536	ENSG00000263793.1	23044305	23044372	+	includeFeature	-1287	1287	Overlapping
17	chr1	23416474	23432090	15617	*	peak_8735	ENSG00000088280.19	23428563	23484568	-	overlapEnd	68094	3527	Overlapping
18	chr1	23416474	23432090	15617	*	peak_8735	ENSG00000204219.10	23381061	23424740	-	overlapStart	8266	7350	Overlapping
19	chr1	25843620	25846149	2530	*	peak_9712	ENSG00000127423.10	25831913	25859458	-	inside	15838	11707	Overlapping
20	chr1	29017435	29017793	359	*	peak_11051	ENSG00000159023.21	28887091	29120046	+	inside	130344	102253	Overlapping
21	chr1	31307835	31308805	971	*	peak_11986	ENSG00000121766.15	31296982	31364953	+	inside	10853	10853	Overlapping
22	chr1	32081799	32082258	460	*	peak_12290	ENSG00000121775.18	32072031	32102866	+	inside	9768	9768	Overlapping
23	chr1	32492181	32504567	12387	*	peak_12477	ENSG00000254553.1	32465057	32600792	+	inside	27124	27124	Overlapping
24	chr1	32492181	32504567	12387	*	peak_12477	ENSG00000273274.2	32465072	32496686	+	overlapEnd	27109	4505	Overlapping
25	chr1	34179562	34179949	388	*	peak_13071	ENSG00000142698.15	34166883	34219131	+	inside	12679	12679	Overlapping
26	chr1	35755545	35757458	1914	*	peak_13697	ENSG00000092853.14	35720218	35769978	-	inside	14433	12520	Overlapping
27	chr1	35764083	35764734	652	*	peak_13704	ENSG00000092853.14	35720218	35769978	-	inside	5895	5244	Overlapping
28	chr1	36058444	36058701	258	*	peak_13886	ENSG00000126070.20	35930718	36072500	+	inside	127726	13799	Overlapping
29	chr1	36197215	36210687	13473	*	peak_13924	NA	NA	NA	NA	NA	NA	NA	NA
30	chr1	37294093	37294329	237	*	peak_14323	ENSG00000223944.2	37154761	37325100	-	inside	31007	30771	Overlapping
31	chr1	38309169	38309463	295	*	peak_14767	NA	NA	NA	NA	NA	NA	NA	NA
32	chr1	41826552	41826845	294	*	peak_16111	ENSG00000127124.16	41506365	42035925	-	inside	209373	209080	Overlapping
33	chr1	42270161	42270616	456	*	peak_16290	ENSG00000198815.9	42176539	42335877	-	inside	65716	65261	Overlapping
34	chr1	43799178	43802754	3577	*	peak_16992	ENSG00000126091.20	43705824	43931165	+	inside	93354	93354	Overlapping
35	chr1	43799178	43802754	3577	*	peak_16992	ENSG00000284989.1	43650149	43931014	+	inside	149029	128260	Overlapping
36	chr1	43803239	43804652	1414	*	peak_16993	ENSG00000126091.20	43705824	43931165	+	inside	97415	97415	Overlapping
37	chr1	43803239	43804652	1414	*	peak_16993	ENSG00000284989.1	43650149	43931014	+	inside	153090	126362	Overlapping
38	chr1	45539050	45539884	835	*	peak_17783	NA	NA	NA	NA	NA	NA	NA	NA
39	chr1	45611873	45614638	2766	*	peak_17825	ENSG00000132780.17	45583846	45618904	+	inside	28027	4266	Overlapping
40	chr1	50581409	50582164	756	*	peak_19584	ENSG00000185104.20	50437028	50960267	-	inside	378858	144381	Overlapping
41	chr1	50581409	50582164	756	*	peak_19584	ENSG00000207194.1	50582404	50582511	+	upstream	-995	240	Overlapping
42	chr1	50609458	50613616	4159	*	peak_19606	ENSG00000185104.20	50437028	50960267	-	inside	350809	172430	Overlapping
43	chr1	50913302	50914266	965	*	peak_19774	ENSG00000185104.20	50437028	50960267	-	inside	46965	46001	Overlapping
44	chr1	51952073	51952444	372	*	peak_20221	ENSG00000169213.7	51907956	51990700	-	inside	38627	38256	Overlapping
45	chr1	52401444	52402008	565	*	peak_20463	ENSG00000085840.13	52372829	52404423	-	inside	2979	2415	Overlapping
46	chr1	52463201	52464043	843	*	peak_20506	ENSG00000134744.14	52408282	52553487	-	inside	90286	54919	Overlapping
47	chr1	53313338	53313574	237	*	peak_20925	ENSG00000157193.17	53242356	53328469	-	inside	15131	14895	Overlapping
48	chr1	53431058	53432299	1242	*	peak_20990	ENSG00000236253.7	53413149	53440020	-	inside	8962	7721	Overlapping
49	chr1	53822885	53823660	776	*	peak_21216	ENSG00000058804.12	53765478	53838463	-	inside	15578	14803	Overlapping
50	chr1	53824232	53828438	4207	*	peak_21218	ENSG00000058804.12	53765478	53838463	-	inside	14231	10025	Overlapping
