seqnames	start	end	width	strand	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
1	chr1	44950822	44950919	98	*	X001	ENSG00000070785	44838091	44986595	-	inside	35773	35676	Overlapping
2	chr1	78089150	78089247	98	*	X002	ENSG00000137960	77979175	78186295	+	inside	109975	97048	Overlapping
3	chr1	159659252	159659299	48	*	X003	NA	NA	NA	NA	NA	NA	NA	NA
4	chr1	155559653	155559714	62	*	X004	ENSG00000116539	155332521	155686510	-	inside	126857	126796	Overlapping
5	chr1	155559653	155559714	62	*	X004	ENSG00000235919	155560533	155621328	+	upstream	-880	819	Overlapping
6	chr1	26998549	26998646	98	*	X005	ENSG00000158246	26994135	27012846	-	inside	14297	4414	Overlapping
7	chr1	26998549	26998646	98	*	X005	ENSG00000253368	26960527	27020042	+	inside	38022	21396	Overlapping
8	chr1	96971826	96971923	98	*	X006	ENSG00000117569	96721788	96984971	+	inside	250038	13048	Overlapping
9	chr1	245051914	245052011	98	*	X007	ENSG00000203666	244968641	245133895	+	inside	83273	81884	Overlapping
10	chr1	155342843	155342899	57	*	X008	ENSG00000116539	155332521	155686510	-	inside	343667	10322	Overlapping
11	chr1	155430837	155430888	52	*	X009	ENSG00000116539	155332521	155686510	-	inside	255673	98316	Overlapping
12	chr1	102799742	102799820	79	*	X010	NA	NA	NA	NA	NA	NA	NA	NA
13	chr1	109733423	109733520	98	*	X011	ENSG00000134201	109711755	109815401	+	inside	21668	21668	Overlapping
14	chr1	109733423	109733520	98	*	X011	ENSG00000134202	109719431	109741063	-	inside	7640	7543	Overlapping
15	chr1	109733423	109733520	98	*	X011	ENSG00000241720	109725830	109788060	+	inside	7593	7593	Overlapping
16	chr1	171760869	171760966	98	*	X012	ENSG00000010165	171600892	171814023	+	inside	159977	53057	Overlapping
17	chr1	5892652	5892711	60	*	X013	ENSG00000131697	5849440	5993717	-	inside	101065	43212	Overlapping
18	chr1	225484415	225484470	56	*	X014	CATG00000037143	225462862	225509127	+	inside	21553	21553	Overlapping
19	chr1	225484415	225484470	56	*	X014	ENSG00000154380	225475995	225654019	-	inside	169604	8420	Overlapping
20	chr1	62008132	62008196	65	*	X015	ENSG00000132849	61742157	62170532	+	inside	265975	162336	Overlapping
21	chr10	77605718	77605815	98	*	X016	CATG00000115694	77600744	77636244	+	inside	4974	4974	Overlapping
22	chr10	77605718	77605815	98	*	X016	ENSG00000156113	76868534	77782768	-	inside	177050	176953	Overlapping
23	chr10	87611534	87611631	98	*	X017	ENSG00000196566	87610163	87659999	-	inside	48465	1371	Overlapping
24	chr10	87611534	87611631	98	*	X017	ENSG00000225913	87606197	87659279	+	inside	5337	5337	Overlapping
25	chr10	28523740	28523837	98	*	X018	ENSG00000254635	28507054	28533601	-	inside	9861	9764	Overlapping
26	chr10	76884975	76885034	60	*	X019	CATG00000000178	76691883	76896859	-	inside	11884	11825	Overlapping
27	chr10	76884975	76885034	60	*	X019	ENSG00000156113	76868534	77782768	-	inside	897793	16441	Overlapping
28	chr10	63381307	63381365	59	*	X020	ENSG00000171988	63156345	63522290	-	inside	140983	140925	Overlapping
29	chr10	110061050	110061147	98	*	X021	ENSG00000148700	109965612	110139679	+	inside	95438	78532	Overlapping
30	chr10	124819047	124819105	59	*	X022	ENSG00000165660	124801819	124836917	+	inside	17228	17228	Overlapping
31	chr10	93166308	93166379	72	*	X023	NA	NA	NA	NA	NA	NA	NA	NA
